Church of the Brethren   	弟兄教會
Church of the Brethren; Friends   	友愛會
Church, Anglican   	聖公會
Church, Baptist   	浸信會
Church, Eastern   	東方教會
Church, Father of the   	教父
Church, History of the; Church History   	教會史
Church, Indefectibility of the   	教會不致缺損性
Church, Infallibility of the   	教會不可錯誤性
Church, Local   	地方教會
Church, Lutheran   	路德會
Church, Magisterium of the   	教會訓導權
Church, Methodist   	衛理會
Church, Old Catholic   	老派天主教會
Church, Pentecostal   	神召會
Church, Primitive   	初期教會
Church, Reformed   	改革教會
Church, Universal   	普世教會
Cicero   	西塞羅
Circumcision   	割損
Circumincession   	彼此滲透
Citizens, duties of   	公民的義務
Civil authorities   	公權力
Clairvoyance   	神視
Clement VI (1342-1352)   	克萊孟六世
Clement of Alexandria (d.ca.214)   	克萊孟•亞力山卓；（新教或其它譯名）克萊門特；克萊芒（基）  
Clement of Rome, St (first century)   	克萊孟教宗（聖）
Clergy   	聖職人員
Clericalism   	教權主義
Co-Redemptrice   	共救贖者
Codex Iuris canonci   	《天主教法典》
Coincidence of Opposites   	對立的相合
Collationes   	會談集
Collationes in decem praeceptis   	論十誡
Collectivism   	集體主義
College of Cardinals   	樞機主教會議
College of Cardinals   	樞機團
Collegiality of Bishops   	普世主教集體性
Collyridians   	歌利里迪派
Colonialism   	殖民地主義
Colossians(Col)   	哥羅森書（哥）；（新教或其它譯名）哥羅西書（西）  
Commandment   	誡命
Commandment of the Church   	教會誡會
Commandments, The Ten; Decalogue   	十誡
Commendatio animae   	交付靈魂經
Commentarii in Ecclesiasten   	訓道篇詮釋
Commentariorum in Isaiam libri xviii   	依撒意亞先知十八部詮釋
Commentarius in Johannem   	若望福音詮釋
Commentarius in Lucam   	路加福音詮釋
Common good   	公益
Communication of Idioms   	屬性交流
Communications media   	大眾傳播媒體
Communion   	領聖體
Communion of saints   	諸聖的相通（諸聖的共融）
Communion; Eucharist; holy communion; housel   	聖餐
Communism   	共產主義
Community, Basic   	基層團體
Comparative Religion   	比較宗教學
Compendium theologiae   	神學綱要
Concelebration   	共祭
Conception, Immaculate   	無染原罪
Conciliarism   	教會會議至上主義
Conciliarism   	會議至高論
Conciliarity   	會議制
Concourse, Divine   	天主的參與
Concubinage   	姘居
Concupiscence   	私慾偏情
Confession   	宣信
Confession   	告解（告明）
Confessional Statement   	信仰宣告
Confessionalism   	宗派主義
Confessiones   	懺悔錄
Confidentiality   	保密
Confirmation   	堅振
Confirmation, Sacrament of   	堅振聖事
Confucianism   	儒家
Confucianism   	儒教；（新教或其它譯名）孔教  
Congregation for the Doctirne of the Faith   	教義部
Congregation for the Doctrine of the Faith   	信理部
Congregation for the Evangelization of Peoples   	傳信部
Congregation for the Propagation of the Faith   	傳信部
Congregation of Rites   	聖禮部
Congregation of Studies   	教學部
Congregation of the Clergy   	聖職部
Congregational   	公理宗
Congregational Church   	公理會
Congregationalism   	公理教會信仰
Congregationalism   	公理會主義
Congregations   	聖部
Congruism   	合宜說
Conscience   	良心
Conscience, examination of   	良心的省察
Conscientious objectors   	基於良心而不服兵役者
Consecrated Life   	奉獻生活
Consecration   	祝聖(聖體聖血)
Consecration   	祝聖(聖職人員)
Consecration   	祝聖
Consecration of the holy chrism   	聖油祝聖禮
Consecration of virgins   	貞女的奉獻
Consecration to a Life of Virginity   	貞女奉獻禮
Constitution of the Church   	教會結構
Constitution of the Divine   	神的內在結構
Constitution; establishment; institution   	設定
Constitution; institution   	規定
Constitutiones Apostolorum   	宗徒訓誨錄
Consubstantial   	同性同體的
Consummation at the end of time   	時期終結達至的圓滿
Contemplation   	默觀
Contextual theology   	處境（化）神學
Contextualization   	埸合化
Continuous creation   	連續的創造
Contra Celsum   	駁斥吉爾松書
Contra Faustum manichaeum   	駁斥摩尼派人浮士德
Contra epistulam Manichaei quam vocant fundamenti   	駁斥摩尼派人的所謂基本書信
Contra gesta Fabiani   	駁斥法比央的作為
Contraception   	避孕
Contraception   	人工避孕
Contracts   	契約
Contrition   	痛悔；皈依（悔改）
Controversy, Chinese Rites   	中國禮儀之爭
Controversy, Iconoclastic   	消除聖像之爭
Conversion   	皈依
Coptic Church   	科普替教會
Corpus canonum ecclesiarum orientalium   	《東方教會法典》
Correction   	規勸
Cosmogenesis   	字宙演化
Cosmogony   	宇宙開闢論
Cosmology   	宇宙論
Cosmos; Universe   	宇宙
Council   	大公會議
Council   	教會會議
Council of Chalcedon   	加采東大公會議；（新教或其它譯名）迦克敦公議會（基）  
Council of Chalcedon   	加彩東大公會議
Council of Constance   	康士坦斯大公會議
Council of Constantinaple   	君士坦丁堡大公會議
Council of Constantinople I   	君士坦丁堡第一屆大公會議
Council of Constantinople II   	君士坦丁堡第二屆大公會議
Council of Constantinople III   	君士坦丁堡第三屆大公會議
Council of Constantinople IV   	君士坦丁堡第四屆大公會議
Council of Ephesus   	厄弗所大公會議；（新教或其它譯名）以弗所大公會議  
Council of Florence   	翡冷翠大公會議；（新教或其它譯名）佛羅倫斯大公會議  
Council of Lyon   	里昂大公會議
Council of Lyons I   	里昂第一屆大公會議
Council of Lyons II   	里昂第二屆大公會議
Council of Nicaea   	尼西亞會議；（新教或其它譯名）奈西亞大會  
Council of Nicaea I   	尼西亞第一屆大公會議
Council of Nicaea II   	尼西亞第二屆大公會議
Council of Trent   	特利騰大公會議
Council of Trent   	脫利騰大公會議；（新教或其它譯名）特倫多大公會議  
Council of Vienne   	維尼大公會議
Council of Vienne   	維也納大公會議；（新教或其它譯名）維也諾大公會議  
Council of nicaea   	尼西亞大公會議
Council, Lateran I   	拉特朗第一屆大公會議
Council, Lateran II   	拉特朗第二屆大公會議
Council, Lateran III   	拉特朗第三屆大公會議
Council, Lateran IV   	拉特朗第四屆大公會議
Council, Lateran V   	拉特朗第五屆大公會議
Council, Vatican I   	梵蒂岡第一屆大公會議
Council, Vatican II   	梵蒂岡第二屆大公會議
Counsel   	超見
Counsel, Evangelical   	福音勸諭
Counter-Reformation   	反改教運動
Counter-Reformation   	反宗教改革運動
Covenant; Testament   	盟約
Covetousness; lust   	貪慾（邪淫、迷色）
Created Grace   	受造恩寵
Creation   	創造
Creation   	創造（宇宙、受造界）
Creation out of nothing   	從無中創造
Creation, Continuous   	永續的創造
Creationism   	創世主義
Creator   	創造者
Credo   	「我信」
Credo of the People of God: Solemn Profession of F   	天主子民信經
Creed   	信經
Creed, Apostolic   	宗徒信經
Creed, Athanasian   	亞大納修信經
Cremation   	火葬
Criticism, Biblical   	聖經批判學
Criticism, Form   	類型批判
Criticism, Literary   	文學批判
Criticism, Redaction   	編輯批判
Criticism, Source   	源流批判
Criticism, Textual   	文字批判
Criticism; judge; judg(e)ment   	批評
Cross   	十字架
Cross, Theology of the   	十字架神學
Crucifixion   	釘於十字架上
Crusade   	十字軍
Culpability   	罪責
Cult   	敬禮
Cult   	崇拜
Cultural Christianity   	文化基督宗教
Culture   	文化
Cum conventus esset   	《有機會時》（論列聖品的程序）
Cum quorumdam hominum (7 August 1555) Constitution   	〈既然某些的人〉憲章
Curia; Curia Romana   	教宗及其高級助理人員
